Datetime (date and time of sample collection),Days since 741001,"Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Sulfate, mg/L","Silica, mg/L","Conductivity, ?mho","Future, NA",Month
1/10/1975 0:00,101,0.25,28958,499,0.87,0.105,7.6,-9,-9,-9,-9,-9,,1
1/10/1975 18:00,101.75,0.25,26029,579,1.05,0.095,8,-9,-9,-9,-9,-9,,1
1/11/1975 0:00,102,0.25,29693,656,1.29,0.08,7.6,-9,-9,-9,-9,-9,,1
1/11/1975 6:00,102.25,0.375,30100,670,1.12,0.085,8.4,-9,-9,-9,-9,-9,,1
1/11/1975 18:00,102.75,0.375,30236,632,1.08,0.1,8.4,-9,-9,-9,-9,-9,,1
1/12/1975 0:00,103,0.25,24890,305,1.04,0.07,8.2,-9,-9,-9,-9,-9,,1
1/12/1975 6:00,103.25,0.25,28232,671,1.04,0.075,8,-9,-9,-9,-9,-9,,1
1/12/1975 12:00,103.5,0.25,27250,252,0.91,0.08,8,-9,-9,-9,-9,-9,,1
1/12/1975 18:00,103.75,0.25,25903,372,0.9,0.09,8,-9,-9,-9,-9,-9,,1
1/13/1975 0:00,104,0.25,17880,408,0.68,0.32,-9,-9,-9,-9,-9,-9,,1
1/13/1975 6:00,104.25,0.375,22913,267,0.99,0.085,8.5,-9,-9,-9,-9,-9,,1
1/13/1975 18:00,104.75,0.75,19733,571,0.82,0.085,7.7,-9,-9,-9,-9,-9,,1
1/14/1975 18:00,105.75,1,14390,241,0.65,0.107,8.5,-9,20,-9,-9,-9,,1
1/15/1975 18:00,106.75,1,10715,227,0.572,0.096,8.5,-9,18,-9,-9,-9,,1
1/16/1975 18:00,107.75,1,8934,157,0.503,0.1,8.5,-9,18,-9,-9,-9,,1
1/17/1975 18:00,108.75,1,5406,90,0.382,0.032,8.5,-9,20,-9,-9,-9,,1
1/18/1975 18:00,109.75,1,5406,77,0.33,0.051,8,-9,19,-9,-9,-9,,1
1/19/1975 18:00,110.75,1,4609,64,0.322,0.103,7.7,-9,19,-9,-9,-9,,1
1/20/1975 18:00,111.75,1,3760,50,0.278,0.101,7.7,-9,24,-9,-9,-9,,1
1/21/1975 18:00,112.75,1,2753,-9,0.26,0.165,8.1,-9,29,-9,-9,-9,,1
1/22/1975 18:00,113.75,1,2377,-9,0.22,0.127,8,-9,35,-9,-9,-9,,1
1/23/1975 18:00,114.75,1,1928,-9,0.2,0.135,7.75,-9,35,-9,-9,-9,,1
1/24/1975 18:00,115.75,1,1878,-9,0.2,0.16,7.6,-9,35,-9,-9,-9,,1
1/25/1975 18:00,116.75,1,1953,-9,0.19,0.16,7.5,-9,37,-9,-9,-9,,1
1/26/1975 18:00,117.75,1,2133,-9,0.19,0.182,7.4,-9,46,-9,-9,-9,,1
